gene_name,protein_id,effect_type,effect_size,log_transformed_f_statistic,fdr
pdxB,Q02JM2,expression/solubility,0.12344352678691571,0.14662219814218988,0.259441596978689
PA14_53560,A0A0H2Z7F5,expression/solubility,-0.07306721343296252,0.14568947907366986,0.528737718092967
pscR,A0A0H2Z9M0,expression/solubility,0.2870146895778682,0.14347143889161257,0.341204782495665
PA14_57200,A0A0H2ZGN8,stability,0.1426669949787581,0.14270558924301882,0.337248929419654
yafJ,A0A0H2Z859,stability,0.25222781474347755,0.14191282097811617,0.253375154608086
PA14_49940,A0A0H2Z7W7,expression/solubility,-0.1475604977743366,0.1391765289878697,0.538658296478703
atpC,Q02DF5,stability,-0.07395988779345665,0.13898302139417562,0.340515648807539
PA14_10090,A0A0H2ZG96,stability,-0.05537057624803539,0.13832229051316755,0.535059968279583
wbpX,A0A0H2ZIJ7,expression/solubility,0.0524438373914133,0.13804266722366,0.529734605712398
PA14_48450,A0A0H2Z743,expression/solubility,0.09740934322667925,0.13774937674453358,0.524781014641758
PA14_22250,A0A0H2ZDW1,stability,-0.26978190503890376,0.13376024813159454,0.183256160319464
snr1,A0A0H2ZDB0,expression/solubility,0.45966438489555606,0.13315122488323014,0.530665059507122
cobQ,Q02JB8,stability,-0.05119464357819283,0.1328681017873722,0.525622369306357
PA14_47090,A0A0H2Z7D5,expression/solubility,0.08127323533515325,0.1308204131592961,0.181134172224698
PA14_47580,A0A0H2Z845,expression/solubility,0.23380467093814244,0.12914056716850175,0.177540867093106
catI,A0A0H2ZKE2,stability,0.09308512645697474,0.1279044343938519,0.173403955912444
nfxB,A0A0H2ZHF9,stability,0.11827325637504031,0.1269179054736376,0.367572593848789
PA14_28810,A0A0H2ZCH2,expression/solubility,-0.08834201501771402,0.12611671893157628,0.169733255025027
ubiB,Q02EV2,expression/solubility,-0.04140125304704894,0.1246097922479066,0.16561022421572
yecS,A0A0H2ZKU5,expression/solubility,-0.15171405692877316,0.12443079377351984,0.541944483282026
rsmJ,Q02RF2,expression/solubility,-0.047346764809208484,0.12435572476372259,0.535909728839392
PA14_02150,A0A0H2ZKI5,stability,0.0888982095574202,0.12236861045191509,0.535487538002231
PA14_29160,A0A0H2ZCE4,expression/solubility,-0.05594715817443456,0.12233213512052335,0.529341613847818
PA14_61410,A0A0H2ZGI3,stability,0.15367169844196102,0.12133737311721056,0.376611696917315
PA14_27940,A0A0H2ZCR0,expression/solubility,-0.08517960339236151,0.11819793739824927,0.165873833892452
fruA,A0A0H2ZLI3,expression/solubility,0.10036102797389536,0.11737694060537951,0.53592561284869
PA14_57130,Q02H45,expression/solubility,-0.09093554972363126,0.11495446833361461,0.391713641758268
toxR,A0A0H2ZDR3,expression/solubility,0.043033052074861036,0.11371195287980684,0.540048511799813
PA14_27150,A0A0H2ZCK3,stability,0.11463116904256448,0.11302305041026779,0.165205732745974
ampE,A0A0H2ZFW4,expression/solubility,0.3504877178010521,0.11250826907624226,0.536579403635046
PA14_69350,A0A0H2ZJ62,expression/solubility,0.057857769327114526,0.11171455440057958,0.532255974122538
sufE,A0A0H2ZES2,stability,0.08678876961330882,0.11121409786449166,0.527179530609409
PA14_65630,A0A0H2ZHB0,stability,0.1143211226311395,0.11047371962507131,0.294247823898741
katB,A0A0H2ZHQ1,stability,0.19641029267960972,0.10684091158812953,0.414419764863912
pcpS,A0A0H2Z6Y4,stability,0.054646351944579986,0.10394941285098942,0.54124769965396
PA14_12990,A0A0H2ZFQ2,expression/solubility,0.06634531038310017,0.10372054845083886,0.535280819454274
PA14_26390,A0A0H2ZCZ0,stability,-0.08292850804805912,0.09970207356184403,0.539692088605948
pcr4,A0A0H2Z9F6,expression/solubility,0.28747309763353496,0.09920532078628326,0.534536432689999
PA14_41130,A0A0H2ZA05,stability,0.45810614978276615,0.09910692643550259,0.439615671755317
PA14_13580,A0A0H2ZFH0,expression/solubility,-0.07019566501589973,0.09839484451998495,0.530091897840472
trpF,Q02PS6,expression/solubility,-0.12202220722035814,0.09794196341445119,0.435933081839102
argG,Q02QZ6,stability,-0.23612743266014227,0.09741690510161027,0.30750258965126
argJ,A0A0H2ZFL0,stability,0.11810781891644184,0.0969739507193219,0.430657372286894
trbG,A0A0H2ZC28,expression/solubility,0.2215290736035792,0.09556936444750312,0.532516349996671
PA14_29060,A0A0H2ZC56,expression/solubility,-0.05822020170836925,0.09501213188472202,0.177391147274474
ywnB,A0A0H2Z791,stability,-0.10750591242602899,0.09329936419943152,0.439630826991709
yajC,A0A0H2ZF92,expression/solubility,-0.13242058796788356,0.09282014582755692,0.432495454607744
yfjD,A0A0H2ZDV5,expression/solubility,0.04590820565005346,0.09005181485574415,0.542585903060935
PA14_40300,A0A0H2Z9Q2,stability,-0.1394319153818917,0.08989192534062773,0.536299327323729
PA14_00310,A0A0H2ZJM0,stability,0.16215209723662546,0.0891613695080441,0.531788143348837
PA14_50300,A0A0H2Z7U3,expression/solubility,0.03690959117125114,0.08872144238218413,0.526278309777458
PA14_35810,A0A0H2ZAX7,stability,0.11077981577118184,0.08740374868333907,0.179761275037928
PA14_45970,A0A0H2Z8C8,stability,0.13090383589175297,0.08664884252327669,0.174281517194621
PA14_04590,A0A0H2ZKX9,expression/solubility,-0.07077528595186669,0.0846650202921598,0.53110566032229
hemF,Q02V57,expression/solubility,-0.06091939790064408,0.08326162101101152,0.474144788660479
PA14_42680,A0A0H2Z9L6,stability,-0.14046042793958732,0.08248325128628564,0.468684011701118
PA14_26730,A0A0H2ZBL9,stability,-0.13364146916514347,0.08205258984606434,0.531924736921488
PA14_50750,A0A0H2Z800,expression/solubility,0.4537904294936927,0.08144523702426415,0.332817662007624
PA14_46570,A0A0H2Z7H7,expression/solubility,-0.1625692741799169,0.08059454540184044,0.175974427258622
PA14_53160,A0A0H2Z6Y2,expression/solubility,0.04204210274244619,0.07843490182064271,0.536142170759274
PA14_63680,A0A0H2ZHT7,expression/solubility,0.07872454270970393,0.0782200887520916,0.172417359326612
PA14_07250,A0A0H2ZLP6,expression/solubility,-0.09101369973712768,0.07660994709841977,0.327393436937458
PA14_08500,A0A0H2ZLG5,stability,0.07066160882578307,0.07446884568206229,0.503951880759861
PA14_22310,A0A0H2ZDV6,expression/solubility,0.1174990834463826,0.07446297927897687,0.313051383478913
PA14_56280,A0A0H2ZGI1,expression/solubility,0.3158917573145113,0.07424314156830089,0.54261694214721
PA14_73150,A0A0H2ZJR1,stability,0.048395394171708156,0.07321008428520041,0.538042965558908
nadR,A0A0H2Z9Z6,stability,0.1282283582031914,0.07129916432862284,0.536680006229849
PA14_14130,A0A0H2ZFD0,stability,0.13811925457944652,0.07121569520918924,0.529339233526295
phaE,A0A0H2Z803,stability,-0.04917349381850242,0.07061878901504269,0.175741067059123
PA14_53310,A0A0H2Z6V0,expression/solubility,0.18260763015512818,0.0703074313079513,0.524710861467049
PA14_60630,A0A0H2ZHM6,stability,0.18257830736834532,0.06916535240467463,0.307727504707601
PA14_06970,A0A0H2ZLM3,stability,0.06010008565029663,0.0681816426079159,0.522948857648131
PA14_26090,A0A0H2ZD27,stability,0.13462864418503973,0.06815543191413444,0.538207256014087
PA14_14370,A0A0H2ZFF4,stability,-0.09525233866480126,0.06793080506176663,0.528048205394855
PA14_14230,A0A0H2ZFG4,expression/solubility,0.2083672812884495,0.06561788268331105,0.175828313253012
pqsB,A0A0H2Z7K6,stability,0.16181607686160218,0.06432795043443248,0.544535400475265
holB,A0A0H2ZD49,stability,0.053472475407314035,0.06401114145874896,0.529785885247875
edd,A0A0H2ZDQ9,expression/solubility,0.06593067659196278,0.06305847331130039,0.541928806905403
cyp23,A0A0H2ZDS4,stability,0.061036876315708526,0.06305678559711105,0.524666797555847
PA14_66010,A0A0H2ZI86,stability,-0.14325835372132753,0.06160542240029209,0.313743845382218
PA14_56090,A0A0H2ZGG9,stability,-0.05957132549702332,0.059344498430949404,0.529671895922968
PA14_50950,A0A0H2Z7R3,expression/solubility,0.11741981626476854,0.05921371775235675,0.522054993710652
PA14_47350,A0A0H2Z8H1,stability,-0.1412674991880934,0.05869731303064019,0.516220064466288
PA14_28350,A0A0H2ZCK6,stability,-0.09495297403662503,0.05845374275832725,0.179588739980975
PA14_54620,A0A0H2Z5W5,stability,0.16018731300486944,0.05353337701709468,0.61780174010188
PA14_44120,A0A0H2Z9C3,stability,0.15210895713448241,0.05335843789197263,0.323992452670186
yieF,A0A0H2Z841,stability,0.09577197792020375,0.04911441341352321,0.314546245387825
pqsC,A0A0H2Z7A3,stability,-0.08640084385312477,0.049108571158393725,0.285248549536424
PA14_40890,A0A0H2ZA18,stability,0.08779419915480158,0.049104998179760204,0.189388226876187
PA14_45210,A0A0H2Z938,stability,0.12846910693924818,0.04499584314482744,0.189435852380826
PA14_26485,A0A0H2ZLX1,stability,0.03487353345163784,0.04323956962595298,0.577789497442671
PA14_68510,A0A0H2ZIQ1,stability,-0.13162047454253878,0.04247984079011177,0.185620426259281
rpoH,A0A0H2ZK26,expression/solubility,-0.11726220608407043,0.04244189735998825,0.176235497023939
wspD,A0A0H2ZEQ5,stability,-0.08217747837982149,0.041836434864387845,0.168066556994499
PA14_65795,A0A0H2ZL86,expression/solubility,-0.10732355801146812,0.0410605114181492,0.159865512631821
cyaA,A0A0H2ZIZ7,stability,-0.04347497144856914,0.039955141414046956,0.586975180342118
PA14_30100,A0A0H2ZC08,stability,-0.024779902892420727,0.039852265124029014,0.578076173198344
PA14_64050,A0A0H2ZI38,stability,0.03187267107157628,0.039760827717337244,0.569190895976143
dcd,Q02QW9,expression/solubility,-0.05259343886276124,0.03940763808721529,0.804720253635508
betI,Q02DY8,stability,0.039149584595566285,0.03894518046948282,0.564074439446888
lolB,Q02G06,expression/solubility,-0.04052661813994596,0.038631418634997784,0.795878580606649
