representative,clustername,nObs,min_qupm,max_qupm,nCoeffsH0,nCoeffsH1,rssH0,rssH1,pEC50H1,slopeH1,pEC50_slopeH1,detected_effectH1,df1,df2,F_statistic,nObsRound,rssH1Squeezed,dataset,max_rank,rank,is_decoy,all_null,all_true,true_cumsum,null_cumsum,remaining_null,remaining_true,pi,FDR
yajL,yajL,20,4,6,4,12,0.0534354157742179,0.007477083941089,3.40616486555304,2.39704781892195,-0.00648835392183187,stability,8,8,2.06231843361402,20,0.00278559866677519,true,49086,1995,0,48600,486,169,1836,46764,317,0.677871867248311,0.0736433578856745
dedD,dedD,40,2,5,8,20,5.09450692524287,2.48648689851619,3.29585591818521,-6.35265141708419,-0.00340867170964445,expression/solubility,12,20,2.05606875324395,40,0.105704151130318,true,38784,1996,0,38400,384,91,1905,36495,293,0.802849705439101,0.168069086688076
guaB,guaB,50,12,22,10,24,0.179899564371465,0.0793902919434339,2.30102999566398,-9.63780134384918,-0.0105408264479218,stability,14,26,2.0551345119952,50,0.00349331574306031,true,95243,3961,0,94300,943,274,3687,90613,669,0.738304658271992,0.0993477837609063
talB,talB,50,14,25,10,24,0.186512217931974,0.0828231237121815,3.39876223955343,6.03872399390131,-0.0118282160998625,stability,14,26,2.05212813711053,50,0.0036091137482627,true,95243,3974,0,94300,943,275,3699,90601,668,0.737298705312303,0.0991733785800076
gltX,gltX,50,10,26,10,24,0.315841326642653,0.148627040953823,3.11946082765774,-5.56655902666836,-0.0149128732626976,stability,14,26,2.04909866517515,50,0.00582884453159372,true,95243,3983,0,94300,943,276,3707,90593,667,0.736259975936331,0.0988882511157963
epd,epd,30,10,13,6,16,0.124275946429213,0.0446250059307656,3.33181821489492,4.42755453271533,-0.00122962356353024,stability,10,14,2.0456404777182,30,0.00389369204246943,true,37370,2224,0,37000,370,93,2131,34869,277,0.794401904270269,0.18202908150537
mrp,mrp,50,2,13,10,24,0.945544628678467,0.469102474858039,2.30102999566398,-2.88858732268545,-0.0308332526758114,stability,14,26,2.04525536350337,50,0.0166392828118301,true,95243,3994,0,94300,943,277,3717,90583,666,0.735237296181403,0.0986598205742337
rbsB,rbsB,50,15,17,10,24,0.289243577058651,0.135304030371156,2.30102999566398,-8.13772275152929,-0.0213184393692012,expression/solubility,14,26,2.04402510762764,50,0.00537942604776101,true,95243,4003,0,94300,943,278,3725,90575,665,0.734198178305272,0.0983772738916237
ybaB,ybaB,50,5,10,10,24,1.2181602604747,0.608087971212198,2.30102999566398,-11.1330873000138,-0.0243939979263442,expression/solubility,14,26,2.04320077510879,50,0.0213276113738057,true,95243,4007,0,94300,943,279,3728,90572,664,0.733118403038467,0.0979593335672904
yccU,yccU,40,2,7,8,20,0.529489386098521,0.247911361332332,2.30102999566398,-9.95976017833312,-0.0208725522460551,expression/solubility,12,20,2.03757648478298,40,0.0115160513347216,true,38784,2022,0,38400,384,92,1930,36470,292,0.800658075130244,0.167964139674062
ptrB,ptrB,20,3,7,4,12,0.312423987860788,0.111893144128824,3.322961275112,7.15336549637703,0.0235820776621224,stability,8,8,2.03343414567653,20,0.0123271046273081,true,49086,2057,0,48600,486,170,1897,46703,316,0.676616063207931,0.0755023924650262
